game_id,tag_name,tag_num
105888,コンプリーツ,2
105888,まめ,1
105888,大槻涼樹,1
105888,2012,1
63299,东方,3
63299,PC,2
63299,花札,1
66486,PC,8
66486,神偷,7
66486,PS4,7
66486,潜入,6
66486,ACT,5
66486,Eidos,4
66486,偷窃,4
66486,2014,3
66486,潜行,2
66486,Thief,2
66486,SquareEnix,1
66486,XONE,1
255338,ADV,1
255338,PC,1
255338,同人,1
77005,潜行,1
77005,AAVG,1
266871,SIM,2
266871,王老菊,1
266871,视频通关,1
266871,STEAM,1
266871,PC,1
77006,潜行,1
77006,神偷,1
77006,偷窃,1
